Student_ID	Time	Detector_Name	Value
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:25:10.197Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:25:18.661Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:25:44.874Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:25:50.181Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:26:12.294Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:26:21.244Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:26:24.517Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:26:29.312Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:26:34.103Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:26:45.434Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:27:12.620Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:27:18.414Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:27:40.793Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:27:43.220Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:28:06.607Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:28:13.759Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:28:54.390Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:29:06.672Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:29:50.851Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:29:53.129Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:29:54.739Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:29:55.360Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:29:55.333Z	struggle	1, > 25 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:30:16.579Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:30:16.579Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:30:46.986Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:30:46.986Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:30:48.265Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:31:29.605Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:31:39.440Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:31:39.440Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:31:47.568Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:31:51.802Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:24.160Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:29.364Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:38.500Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:41.264Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:45.321Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:47.739Z	struggle	0, > 0 s,  
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:48.320Z	struggle	1, > 25 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:48.138Z	struggle	1, > 25 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:32:55.794Z	struggle	1, > 25 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:05.241Z	struggle	1, > 25 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:08.454Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:08.454Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:08.615Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:08.772Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:08.915Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:21.577Z	struggle	1, > 45 s, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:24.698Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:24.698Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:29.311Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:32.298Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:32.336Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:32.721Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:32.941Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:34.391Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:48.693Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:33:51.938Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:11.247Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:16.230Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:18.290Z	struggle	1, > 1 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:43.350Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:43.350Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:48.576Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:49.797Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:50.833Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:51.784Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:52.726Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:34:53.366Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:35:03.236Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:35:27.755Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:35:32.803Z	struggle	1, > 2 min, lots of errors
Stu_0105a5313a7581494a07c47c38677ed3	2020-03-09T13:35:40.381Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:48:44.639Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:49:12.162Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:49:22.402Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:49:41.636Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:50:31.622Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:50:34.260Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:50:40.442Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:50:42.638Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:51:33.640Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:51:36.966Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:52:00.880Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:52:03.744Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:52:10.580Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:08.874Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:47.147Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:54.160Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:57.400Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:58.342Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:59.413Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:59.727Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:53:59.985Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:00.546Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:00.757Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:14.278Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:18.134Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:28.914Z	struggle	1, > 45 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:28.914Z	struggle	1, > 45 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:44.331Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:54:44.331Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:55:08.743Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:55:17.776Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:55:20.378Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:56:19.349Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:56:27.974Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:56:31.884Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T13:56:33.870Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:00:43.920Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:00:46.304Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:00:46.284Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:00:46.296Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:00:58.149Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:01:02.540Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:01:13.845Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:01:17.110Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:01:22.831Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:01:27.598Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:01:27.622Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:01:27.615Z	struggle	1, > 25 s, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:03.400Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:03.400Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:16.603Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:16.629Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:16.623Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:20.540Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:20.460Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:38.719Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:38.712Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:02:44.505Z	struggle	1, > 1 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:02.125Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:02.125Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:02.156Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:02.268Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:03.228Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:08.149Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:26.693Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:03:28.838Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:04:01.809Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:04:01.802Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:04:31.463Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:04:31.456Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:05:10.894Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:05:12.110Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:05:12.937Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:05:13.550Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:05:43.868Z	struggle	1, > 2 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:05.188Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:05.188Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:05.416Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:05.249Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:50.434Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:50.406Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:50.427Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.288Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.477Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.691Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.848Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.282Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.471Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.685Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:53.841Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:06:59.175Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:07:15.607Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:07:17.334Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:07:17.312Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:07:17.328Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:09:40.545Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:09:42.640Z	struggle	1, > 5 min, lots of errors
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:09:47.544Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:10:22.260Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:10:26.323Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:10:50.111Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:10:51.451Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:11:28.375Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:11:30.456Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:12:02.367Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:12:04.123Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:12:23.960Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:12:24.994Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:13:54.660Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:13:57.766Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:14:23.391Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:14:25.859Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:14:29.169Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:14:30.811Z	struggle	0, > 0 s,  
Stu_011d4a758304088030545e04e03cb852	2020-03-09T14:14:53.107Z	struggle	0, > 0 s,  
